ts,open,high,low,close,volume
2026-01-12,28.39,30.02,27.56,29.76,2186532
2026-01-13,30.27,31.01,29.29,29.94,1823010
2026-01-14,29.31,30.85,29.05,29.57,1643333
2026-01-15,29.15,29.9,28.8,29.25,950022
2026-01-16,29.25,29.52,27.76,27.8,1126070
2026-01-19,27.95,28.58,27.8,28.07,778086
2026-01-20,28.4,28.56,26.78,27.23,829092
2026-01-21,27.23,28.76,26.93,28.31,965739
2026-01-22,28.46,29.05,27.81,28.1,670658
2026-01-23,28.55,28.67,27.34,27.49,870895
2026-01-26,27.89,27.9,26.8,27.02,657722
2026-01-27,26.91,27.33,26.45,26.8,512939
2026-01-28,26.89,27.03,26.32,26.45,550243
2026-01-29,26.4,27.35,26.27,26.58,903813
2026-01-30,26.58,26.96,26.08,26.52,641285
2026-02-02,26.12,26.71,25.49,25.51,665077
2026-02-03,26.11,26.3,24.62,25.9,927763
2026-02-04,25.51,26.18,25.03,25.29,576617
2026-02-05,25.0,25.28,24.88,24.98,419733
2026-02-06,24.86,25.5,24.44,25.14,474729
2026-02-09,25.5,25.72,25.27,25.61,573319
2026-02-10,25.8,26.66,25.4,26.19,1222355
2026-02-11,26.2,26.37,25.89,25.97,721837
2026-02-12,25.8,26.3,25.6,26.08,663198
2026-02-13,25.9,25.98,25.16,25.18,670423
2026-02-24,25.46,25.52,24.44,24.72,575930
2026-02-25,24.72,24.92,24.62,24.87,401465
2026-02-26,24.93,24.99,24.2,24.29,635973
2026-02-27,24.29,24.57,24.12,24.5,383449
2026-03-02,24.03,24.3,23.55,23.79,621876
2026-03-03,23.84,23.94,22.72,22.77,572913
2026-03-04,22.6,22.89,22.31,22.47,408685
2026-03-05,22.89,23.32,22.57,23.03,505699
2026-03-06,22.85,23.07,22.77,23.07,294756
2026-03-09,22.38,23.28,22.27,23.11,456987
2026-03-10,23.48,23.54,23.13,23.48,365391
2026-03-11,23.48,24.08,23.48,23.74,555033
2026-03-12,23.63,24.15,23.52,23.7,493534
2026-03-13,24.11,24.38,23.38,23.54,525848
2026-03-16,23.52,23.96,23.01,23.45,357415
2026-03-17,23.62,24.38,23.41,23.9,628764
2026-03-18,23.73,24.02,23.37,23.76,388699
2026-03-19,23.38,23.4,22.76,22.86,453384
2026-03-20,22.81,23.04,22.35,22.42,351532
2026-03-23,21.9,22.02,21.06,21.23,505793
2026-03-24,21.68,21.76,21.07,21.46,301057
2026-03-25,21.65,21.92,21.54,21.86,294106
2026-03-26,21.81,21.81,21.2,21.3,249488
2026-03-27,21.0,21.7,20.91,21.59,213513
2026-03-30,21.2,21.4,21.0,21.37,216080
2026-03-31,21.35,21.8,21.27,21.41,252187
2026-04-01,21.82,22.85,21.64,22.78,653903
2026-04-02,22.5,22.61,22.05,22.2,343564
2026-04-03,22.3,22.38,21.66,21.72,212396
2026-04-07,21.82,21.97,21.51,21.65,213471
2026-04-08,22.3,22.96,22.24,22.94,493943
2026-04-09,22.59,22.59,22.33,22.42,317832
2026-04-10,22.55,23.14,22.55,22.83,396624
